jband,k,e
25,0.69477,-9.33028
25,0.72134,-9.30852
25,0.74791,-9.29042
25,0.77449,-9.27746
25,0.80106,-9.27016
25,0.82763,-9.26793
25,0.85393,-9.26923
25,0.88024,-9.27495
25,0.90654,-9.28670
25,0.93285,-9.30416
25,0.95915,-9.32493
25,0.98546,-9.34588
25,1.01176,-9.36726
25,1.03807,-9.38863
25,1.06437,-9.40640
25,1.09068,-9.41388
25,1.11726,-9.40996
25,1.14382,-9.39945
25,1.17040,-9.38530
25,1.19697,-9.36965
25,1.22355,-9.35363
25,1.25012,-9.33739
25,1.27668,-9.32053
25,1.30326,-9.30279
25,1.32983,-9.28502
25,1.35641,-9.26870
25,1.38298,-9.25532
25,1.40955,-9.24588
25,1.43612,-9.24056
25,1.46269,-9.23898
25,1.48899,-9.24017
25,1.51530,-9.24354
25,1.54161,-9.24833
25,1.56791,-9.25333
26,1.59422,-9.25782
26,1.62052,-9.26166
26,1.64683,-9.26470
26,1.67313,-9.26666
26,1.69944,-9.26767
26,1.72574,-9.26793
26,0.00000,-8.59100
26,0.02680,-8.58379
26,0.05360,-8.60324
26,0.08040,-8.60029
26,0.10720,-8.60381
26,0.13401,-8.59575
26,0.16081,-8.57241
26,0.18761,-8.56765
26,0.21440,-8.56625
26,0.24120,-8.56686
26,0.26800,-8.56614
26,0.29481,-8.56346
26,0.32161,-8.56401
26,0.34841,-8.56757
26,0.37521,-8.58310
26,0.40201,-8.59573
26,0.42881,-8.57486
26,0.45562,-8.55859
26,0.48219,-8.57954
26,0.50876,-8.58798
26,0.53534,-8.57014
26,0.56191,-8.56606
26,0.58849,-8.55979
26,0.61505,-8.55909
26,0.64162,-8.55135
26,0.66820,-8.56819
26,0.69477,-8.57191
26,0.72134,-8.57200
26,0.74791,-8.57389
26,0.77449,-8.57623
26,0.80106,-8.60067
26,0.82763,-8.60354
26,0.85393,-8.59753
26,0.88024,-8.59151
26,0.90654,-8.58651
26,0.93285,-8.58797
26,0.95915,-8.58773
26,0.98546,-8.58282
26,1.01176,-8.58645
26,1.03807,-8.59026
26,1.06437,-8.58173
26,1.09068,-8.57308
26,1.11726,-8.58211
26,1.14382,-8.57649
26,1.17040,-8.58083
26,1.19697,-8.59356
26,1.22355,-8.59604
26,1.25012,-8.59950
26,1.27668,-8.60423
26,1.30326,-8.60894
26,1.32983,-8.60466
26,1.35641,-8.60607
26,1.38298,-8.59446
26,1.40955,-8.59922
26,1.43612,-8.58579
26,1.46269,-8.59100
26,1.48899,-8.58854
26,1.51530,-8.59613
26,1.54161,-8.60497
27,1.56791,-8.60812
27,1.59422,-8.59673
27,1.62052,-8.59800
27,1.64683,-8.60487
27,1.67313,-8.59534
27,1.69944,-8.59814
27,1.72574,-8.60354
27,0.00000,-8.57906
27,0.02680,-8.57301
27,0.05360,-8.58193
27,0.08040,-8.57534
27,0.10720,-8.57619
27,0.13401,-8.57480
27,0.16081,-8.57010
27,0.18761,-8.56639
27,0.21440,-8.55911
27,0.24120,-8.56079
27,0.26800,-8.55915
27,0.29481,-8.54743
27,0.32161,-8.54810
27,0.34841,-8.55890
27,0.37521,-8.56695
27,0.40201,-8.58064
27,0.42881,-8.55003
27,0.45562,-8.54351
27,0.48219,-8.55472
