k,e
1.30326,-9.60953
1.32983,-9.30115
1.35641,-9.51479
1.38298,-9.60326
1.40955,-9.63522
1.43612,-9.60820
1.46269,-9.68529
1.48899,-9.67825
1.51530,-9.58871
1.54161,-9.58464
1.56791,-9.51187
1.59422,-9.27842
1.62052,-9.47624
1.64683,-9.63132
1.67313,-9.70338
1.69944,-9.74287
1.72574,-9.75564
0.00000,-8.50251
0.02680,-8.48941
0.05360,-8.50251
0.08040,-8.53906
0.10720,-8.88595
0.13401,-9.20705
0.16081,-9.20843
0.18761,-9.42049
0.21440,-9.67093
0.24120,-9.69435
0.26800,-9.68961
0.29481,-9.64916
0.32161,-9.63514
0.34841,-9.63115
0.37521,-9.63433
0.40201,-9.63975
0.42881,-9.56555
0.45562,-9.52533
0.48219,-9.59082
0.50876,-9.64354
0.53534,-9.62473
0.56191,-9.62728
0.58849,-9.65883
0.61505,-9.67777
0.64162,-9.67397
0.66820,-9.72493
0.69477,-9.73617
0.72134,-9.59765
0.74791,-9.42219
0.77449,-9.27221
0.80106,-9.16567
0.82763,-9.12603
0.85393,-9.16415
0.88024,-9.25940
0.90654,-9.38415
0.93285,-9.52510
0.95915,-9.67744
0.98546,-9.67541
1.01176,-9.64059
1.03807,-9.64401
1.06437,-9.64473
1.09068,-9.61721
1.11726,-9.64363
1.14382,-9.60256
1.17040,-9.64066
1.19697,-9.66344
1.22355,-9.65700
1.25012,-9.48213
1.27668,-9.28451
1.30326,-9.13849
1.32983,-9.23270
1.35641,-8.80289
1.38298,-8.51930
1.40955,-8.50676
1.43612,-8.49013
1.46269,-8.50251
1.48899,-8.49310
1.51530,-8.49929
1.54161,-8.51269
1.56791,-8.71592
1.59422,-9.11840
1.62052,-9.07965
1.64683,-9.08119
1.67313,-9.09372
1.69944,-9.11800
1.72574,-9.12603
0.00000,-8.49002
0.02680,-8.47197
0.05360,-8.49397
0.08040,-8.50674
0.10720,-8.52256
0.13401,-8.53557
0.16081,-8.54264
0.18761,-8.54859
0.21440,-8.54621
0.24120,-8.54655
0.26800,-8.53823
0.29481,-8.51558
0.32161,-8.49999
0.34841,-8.49106
0.37521,-8.48144
0.40201,-8.47321
0.42881,-8.45065
0.45562,-8.43485
0.48219,-8.45263
0.50876,-8.47303
0.53534,-8.47224
0.56191,-8.48846
0.58849,-8.50398
0.61505,-8.51356
0.64162,-8.51122
0.66820,-8.52528
0.69477,-8.52675
0.72134,-8.51651
0.74791,-8.51466
0.77449,-8.51961
0.80106,-8.53623
0.82763,-8.54238
0.85393,-8.53290
0.88024,-8.52309
0.90654,-8.51528
0.93285,-8.51526
0.95915,-8.52797
0.98546,-8.53701
1.01176,-8.55009
1.03807,-8.56269
1.06437,-8.56281
1.09068,-8.55531
1.11726,-8.56096
1.14382,-8.55280
1.17040,-8.55462
1.19697,-8.56726
1.22355,-8.56140
1.25012,-8.55409
1.27668,-8.55393
1.30326,-8.55407
1.32983,-8.54942
1.35641,-8.54012
1.38298,-8.49949
1.40955,-8.49465
1.43612,-8.47837
1.46269,-8.49002
1.48899,-8.48391
1.51530,-8.48465
1.54161,-8.48761
1.56791,-8.52248
1.59422,-8.52277
1.62052,-8.50442
1.64683,-8.51131
1.67313,-8.50778
1.69944,-8.53060
1.72574,-8.54238
0.00000,-8.07153
0.02680,-8.14221
0.05360,-8.28497
0.08040,-8.49834
0.10720,-8.51177
0.13401,-8.51171
0.16081,-8.50405
0.18761,-8.50601
0.21440,-8.51154
0.24120,-8.51098
0.26800,-8.50554
0.29481,-8.48441
0.32161,-8.47548
0.34841,-8.47122
0.37521,-8.46031
0.40201,-8.46342
0.42881,-8.42661
0.45562,-8.41662
0.48219,-8.43180
0.50876,-8.44779
0.53534,-8.44701
0.56191,-8.46162
0.58849,-8.46612
0.61505,-8.47289
0.64162,-8.47393
0.66820,-8.48702
0.69477,-8.49872
0.72134,-8.49546
0.74791,-8.48560
0.77449,-8.48250
0.80106,-8.47892
0.82763,-8.47759
0.85393,-8.47869
0.88024,-8.48159
0.90654,-8.49007
0.93285,-8.50872
0.95915,-8.49849
0.98546,-8.48061
1.01176,-8.47070
1.03807,-8.46829
1.06437,-8.46031
1.09068,-8.45676
1.11726,-8.46829
1.14382,-8.46562
1.17040,-8.48722
1.19697,-8.51084
1.22355,-8.51935
1.25012,-8.52857
1.27668,-8.53554
1.30326,-8.53232
1.32983,-8.52367
1.35641,-8.51738
1.38298,-8.49517
1.40955,-8.27651
1.43612,-8.14545
1.46269,-8.07153
1.48899,-8.12245
1.51530,-8.28224
1.54161,-8.46241
1.56791,-8.49269
1.59422,-8.48005
1.62052,-8.47210
1.64683,-8.47784
1.67313,-8.47101
1.69944,-8.47687
1.72574,-8.47759
0.00000,-5.12115
0.02680,-5.09191
0.05360,-5.02699
0.08040,-4.92628
0.10720,-4.79449
0.13401,-4.63348
0.16081,-4.44269
0.18761,-4.21980
0.21440,-3.96341
0.24120,-3.68957
0.26800,-3.45727
0.29481,-3.44244
0.32161,-3.68315
0.34841,-3.80375
0.37521,-3.87826
0.40201,-3.93214
0.42881,-3.96504
0.45562,-3.97624
0.48219,-3.96640
